shot_id,loc_x,loc_y,minutes_remaining,seconds_remaining,period,playoffs,shot_distance,seconds_left_in_period,game_year,game_month,game_dayofweek,action_type,combined_shot_type,season,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,home_away
1,167,72,10,27,1,0,18,627,2000,10,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,POR,away
8,1,28,8,5,3,0,2,485,2000,10,1,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,POR,away
17,0,0,0,1,1,0,0,1,2000,11,2,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,home
20,0,0,10,46,3,0,0,646,2000,11,2,Driving Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,home
33,163,76,11,26,1,0,17,686,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,VAN,away
34,70,194,10,58,1,0,20,658,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,away
35,1,19,7,33,1,0,1,453,2000,11,5,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,away
36,-12,15,5,58,1,0,1,358,2000,11,5,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,away
37,1,4,4,9,1,0,0,249,2000,11,5,Reverse Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,away
38,-117,116,5,33,2,0,16,333,2000,11,5,Jump Shot,Jump Shot,2000-01,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,VAN,away
45,-12,19,4,29,3,0,2,269,2000,11,5,Layup Shot,Layup,2000-01,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,away
